Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance
5-wm_96-inpainting.jpg,1101110001000011011010001110011100100100100100100001110001100011011001110010111111101010011100011110010100101011000111101001010000111101010110110010010100101100000001011011010011001011011010001111101101001001110100000010101000101110101101100001111111010010,1101111001000111011010000110011000100100100101110001110001100011011001110010111111101010011110000110010100101011000111101001100000111110010110110010010100101100000001011011010011001011011010001111101101000001111100000010101000100110101101010000111111010110,True,True,True,True,20
2-wm_92-copy-move.jpg,1100101101101101101101001010011010110110010010101010100101001101001010001101010110011010100101011001001011011011010110101000101101000101101100100101011100110010101001010011011001001011001101111010101010010101110110101100110100100110010010010010010101001010,1100101101100111101101001011011010110110010010101010100101001101001010001101010110011010100101011001001011011011010110011010101101000101101000100100001100100010101001010011001001001011001101011011101010010101110110101101110000100110010010101011010101011010,True,True,True,True,20
18-wm_98-cropping.jpg,1010000100011011110110001100111010111110011001001100101000110010001100001000101000101101110011010100101000100011100101010011001010110001110101000110110011001101100111111011101101101110011101110101000110010010011011001100101010101011010010011100010101010010,10100010110001101101100000110011100101111001110110101001100011000101100000100010001101010111001101101011000010100100011101100011001110001111110010101010010100011100010110011100011010010011010000111011,True,False,True,False,91
12-wm_103.jpg,1100110001000001110100000010111100110010000111100111111000110000100000011110000000110000111001100111111000011101111100000001100101001100111001100011110111001110011010111001100101001100001110011000110011111111001000111011011011001111100111100001100010010110,1100110001000001110100000010111100110010000111100111111000110000100000011110000000110000111001100111111000011101111100000001100101001100111001100011110111001110011010111001100101001100001110011000110011111111001000111011011011001111100111100001100010010110,True,True,True,True,0
11-wm_104.jpg,1001011100010010110110010110000001100111000010110010110011011110000010000010110101101010101100110111100010001100011011001001000101111100011111111100011110111100101100000101010010110100111011110110100011010011011110110010000001100110100100111000111000111000,1001011100010010110110010110000001100111000010110010110011011110000010000010110101101010101100110111100010001100011011001001000101111100011111111100011110111100101100000101010010110100111011110110100011010011011110110010000001100110100100111000111000111000,True,True,True,True,0
15-wm_105.jpg,1001000110001111100111101110000011000110011100001011001110001111110111111000111011001100011100001110000110111000110000111100111010001100001100011011100110011000111000100100011011001100011100010011100110011001011101100010011010000010111000111001110010011001,1001001110001111100111101110000011000110011100001011001110001111110111111000111011001100011100001110000100111000110000111100111010001100001100011011100110011000111000100100011011001100011100010011100110011001011101100010011010000010111000111001110010011001,True,True,True,True,2
6-wm_97-cropping.jpg,1000110100110110111110100101110000010100010010111010001110010011010111010111111000101100000001100100101111110101100111000011101111111011110001000011010000111010111111011101011100010101101000000100101100010101110010000011111101100010110000001011000100010000,1000111101100100111100101101111100010100110110101010111100100100010100011111111100001001011100010101101100000000100111001110111110000010000110011011011111100110111110010011010100110101001010000100101101000101100010011100001100000110000110011111001101100100,True,True,True,True,94
10-wm_102.jpg,1011001011000011011101001100001111001010001010001100101100001110100011000011010010001101001011000011001101001011101110111101001011001111001101000011010101011010011100101100001101110010101001011011010100101111010111000101101101110010100001010011010111010010,1011001011000011011101001100001111001010001010001100101100001110100011000011010010001101001011000011001101001011101110111101001011001111001101000011010101011010011100101100001101110010101001011011010100101111010111000101101101110010101001010011000111010010,True,True,True,True,2
16-wm_107.jpg,1001010101011001101101010101010010110001001101000110101010101010101010101010000100010011101110101010101110100101100001001111111001011010100010100001010100001010011100011010001011110001010101010101111101101000111010100011011011010111100010100100110111010101,1001010001011001111101010101010010110001001101000110101010101010101010101010000100010011101110111010101110100101100001001111111001011010100010100001010100001010011100011010001011110001010101010101111101101000101010100011011011010111100010100100110111010101,True,True,True,True,4
8-wm_99-cropping.jpg,1010010001111101100001111100110111111011100000101101100000010110011110110011001000000111101000110000111100110100010110000111110110000101100101100101101010011000111101010000011101011110110010011111011100000010001010101110100111000001110101000010100000111011,1011010001111110100000111110011011111111100000010101100010011011000111010011001100000111101000010000111100011110111110000111110010100101110010110111101001000100111101010010001101001010110101001011001110101010000010000101110011000000101010111010110000010101,True,True,True,True,74
17-wm_108.jpg,1001000001100001011011011100010001001110001110101000001100010110011111001110000110001001011011000111010011001110000110111011100011100100000110010100111100110001100110001100111110101101110000100111100110111101001101100100100001101111000101111101001110101100,1001000001100001011011011100010001001110001110101000001100010110011111001110000110001001011011000111010011001110000110111011100011100100000110010100111100110001100110001100111110101101110000100111100110111101001101100100100001101111000101111101001110101100,True,True,True,True,0
13-wm_106.jpg,1100010101111110110101100110111011000111010011101010101110001100101000110000110011000011000110010101100011001001101111101110000100111111010000000000000111000000001010000011100001101010011110111111101010111001100101110001001111100100101100010010101101111100,1100011001111110110101100110111010000111010011101010101110001100101000110000110011000011000110010101100011001001101111101110000100111111010000000001000111000000001010000011100101101010011110111111101010111001100101110001001111100000101100010010101101111100,True,True,True,True,6
14-wm_95-inpainting.jpg,1110100001010010010100010000100110000111111101111101111010011010101110100100011011101000100101001100000001111110011010111011010110011010110100100000001101101010011101110100010000111101110110110010010000000111010000110111001000101001110001110010101011101110,1110100001010110010100010000110110000111111100111101111110001010011110100100011001111010100101001100000001111111010010111011010110011100101100100000001101101010011101110100011000111001010110110110010000000111010000110111001010111001110001110010000010101110,True,False,True,True,25
9-wm_100.jpg,1000101000101100101000110001110010101011010011000111000010011010001101011101101011000010101010000111010111010001100111010111110101101101010101100011110101010100110000100010001011101100010000100011001111110111110111010101000011011100010001010011101110101010,1000101000101100101000110001110010101011010011000111000010011010011101001101101011000010101010000111010011010001100111010111110101101101010101100011110101000100110000100010001011101100110000100011001111110111110111010101000011011100010101010011101110101010,True,True,True,True,6
4-wm_94-inpainting.jpg,1100011110101011101011011000110100111100001101011011000110010101101111000001010001110000111010000010011011000011000000110101001011100011110011000100110010111010001111100011111011000010111100000011100111000001111000110001111110111000110001000011100111001110,1100011110100011101011011000110100101100001101010011000111010101101111000111010001100000110010100010011001000011000010110101001111100011110011000100110010111010001111100011111011000010111100000011100111000011110000100001111110111000110101000011100111001110,True,True,True,True,16
3-wm_93-copy-move.jpg,1101101110001001100011101100011010000011000100111010100101100100001100000110110001110111000100111110010011001101110101001000110100100101101101110011000100110101111101100110010011000111010111001100100101001100011010110111101101100000110110101110000011011000,1101101110001001100011101100111010001011000100110000100101100100001100010110110001110101001100111110010011011101110101001000110100100101101101110001100100110101101101110110010011001111010111011100100111011100011010110111101101100001110100100000000010001010,True,True,False,True,24
7-wm_101.jpg,1001001111101010001111010111110001100000100010000000001000101100001101110011111111010100001111000010100011111111101101010111111111000111100001010110010111001110001110100011100101011100100010010000000000100011110011110111001001101110110001011001000100000111,1001001111101010001111010111110001100000100010000000001000101100001101110011111111010100001111000010100011111111101101010111111111000111100001010110010111001110001110100011100101011100100010010000000000100011110011110111001001101110110001011001000100000111,True,True,True,True,0
1-wm_91-copy-move.jpg,1010010100101000000101010101101110000011010101010100011001001001110101001011010111111101001011000010101101011010100100011001000110010110110001100011111010110111011011010011100100100011000010101010000101010010111111011110101111101000100111010000101010110110,1010010101001000001101010101101110000011110101010101011001001001110101001011010111111101001011000010101101011010100100110001000110010110110001100011111010110111011011011011100100100011000010001010000101010010111111011110100111101000000101011000101010010110,True,True,True,True,14
