Threshold,TPR,FPR,ACC,Precision,Recall,F1-score
0,100.0,51.5,74.25,66.00660066006601,100.0,79.52286282306164
1,100.0,51.3,74.35,66.09385327164573,100.0,79.58615200955033
2,99.6,13.0,93.3,88.45470692717585,99.6,93.69708372530573
3,99.6,12.6,93.5,88.77005347593584,99.6,93.8737040527804
4,99.0,6.4,96.3,93.92789373814041,99.0,96.39727361246348
5,99.0,5.5,96.75,94.73684210526316,99.0,96.82151589242054
6,98.6,3.7,97.45,96.38318670576736,98.6,97.47899159663865
7,98.6,2.9,97.85,97.14285714285714,98.6,97.86600496277916
8,97.6,2.9,97.35,97.11442786069652,97.6,97.356608478803
9,97.5,2.7,97.4,97.30538922155688,97.5,97.4025974025974
10,96.9,2.5,97.2,97.48490945674044,96.9,97.19157472417251
11,96.7,2.5,97.1,97.47983870967742,96.7,97.08835341365462
12,95.3,2.5,96.4,97.4437627811861,95.3,96.35995955510616
13,95.2,2.4,96.39999999999999,97.54098360655736,95.2,96.35627530364373
14,93.7,2.4,95.64999999999999,97.50260145681581,93.7,95.5634880163182
15,93.4,2.4,95.5,97.4947807933194,93.4,95.40347293156283
16,92.0,2.4,94.8,97.45762711864406,92.0,94.65020576131687
17,91.7,2.4,94.64999999999999,97.44952178533474,91.7,94.48737764039154
18,89.8,2.4,93.7,97.39696312364426,89.8,93.44432882414151
19,89.2,2.4,93.39999999999999,97.37991266375545,89.2,93.11064718162838
20,87.0,2.4,92.3,97.31543624161073,87.0,91.86906019007391
21,86.3,2.4,91.95,97.29425028184893,86.3,91.46793852676204
22,84.8,2.3,91.25,97.3593570608496,84.8,90.64671298770712
23,84.2,2.3,90.94999999999999,97.34104046242774,84.2,90.29490616621985
24,82.9,2.3,90.3,97.30046948356807,82.9,89.52483801295897
25,82.3,2.2,90.05000000000001,97.39644970414201,82.3,89.2140921409214
26,80.4,2.2,89.10000000000001,97.3365617433414,80.4,88.06133625410735
27,79.5,2.2,88.65,97.30722154222767,79.5,87.50687947165657
28,78.3,2.2,88.05000000000001,97.26708074534162,78.3,86.75900277008309
29,77.7,2.2,87.75,97.24655819774718,77.7,86.38132295719845
30,76.2,2.2,87.0,97.1938775510204,76.2,85.42600896860986
31,75.9,2.1,86.9,97.30769230769232,75.9,85.2808988764045
32,74.9,2.0,86.45,97.39921976592979,74.9,84.68061051441494
33,74.6,1.9,86.35,97.51633986928104,74.6,84.53257790368271
34,73.9,1.8,86.05,97.62219286657862,73.9,84.12066021627776
35,73.6,1.7,85.95,97.74236387782204,73.6,83.97033656588704
36,72.1,1.6,85.25,97.82903663500679,72.1,83.01669545192861
37,71.6,1.6,85.0,97.81420765027323,71.6,82.67898383371825
38,70.5,1.4,84.55,98.05285118219749,70.5,82.02443280977312
39,70.1,1.4,84.35,98.04195804195803,70.1,81.74927113702623
40,68.8,1.4,83.7,98.00569800569801,68.8,80.84606345475912
41,68.0,1.4,83.3,97.98270893371757,68.0,80.28335301062575
42,67.0,1.3,82.85,98.09663250366033,67.0,79.61972667855022
43,66.6,1.3,82.64999999999999,98.08541973490426,66.6,79.33293627159023
44,65.5,1.3,82.1,98.05389221556887,65.5,78.53717026378898
45,65.1,1.3,81.89999999999999,98.0421686746988,65.1,78.2451923076923
46,64.7,1.3,81.69999999999999,98.03030303030303,64.7,77.95180722891565
47,64.0,1.2,81.4,98.15950920245399,64.0,77.4818401937046
48,63.1,1.1,81.0,98.2866043613707,63.1,76.85749086479902
49,62.6,1.1,80.75,98.27315541601256,62.6,76.48136835675015
50,62.0,1.1,80.45,98.256735340729,62.0,76.02697731453097
51,61.6,1.1,80.25,98.24561403508771,61.6,75.7221880762139
52,60.4,1.1,79.65,98.21138211382114,60.4,74.79876160990712
53,60.0,1.1,79.45,98.19967266775777,60.0,74.487895716946
54,59.2,1.1,79.05,98.17578772802652,59.2,73.86150966936994
55,59.1,1.1,79.0,98.17275747508305,59.1,73.78277153558052
56,58.7,1.1,78.8,98.16053511705685,58.7,73.46683354192741
57,58.2,1.1,78.55,98.1450252951096,58.2,73.06967984934086
58,57.5,1.1,78.2,98.12286689419795,57.5,72.50945775535939
59,56.8,1.1,77.85000000000001,98.10017271157167,56.8,71.94426852438252
60,56.5,1.1,77.7,98.09027777777777,56.5,71.7005076142132
61,56.2,0.9,77.64999999999999,98.42381786339755,56.2,71.54678548695098
62,55.6,0.9,77.35,98.40707964601769,55.6,71.05431309904154
63,55.3,0.9,77.2,98.39857651245552,55.3,70.80665813060179
64,55.0,0.8,77.1,98.5663082437276,55.0,70.6033376123235
65,54.8,0.8,77.0,98.5611510791367,54.8,70.4370179948586
66,54.6,0.8,76.89999999999999,98.55595667870037,54.6,70.27027027027029
67,54.0,0.6,76.7,98.9010989010989,54.0,69.85769728331177
68,53.7,0.5,76.6,99.07749077490774,53.7,69.64980544747083
69,53.7,0.4,76.64999999999999,99.26062846580406,53.7,69.69500324464633
70,53.0,0.4,76.3,99.25093632958801,53.0,69.10039113428945
71,52.3,0.4,75.95,99.24098671726756,52.3,68.5003274394237
72,51.6,0.4,75.6,99.23076923076923,51.6,67.89473684210527
73,50.8,0.3,75.25,99.41291585127203,50.8,67.2402382528127
74,50.6,0.3,75.14999999999999,99.4106090373281,50.6,67.06428098078199
75,50.3,0.3,75.0,99.40711462450594,50.3,66.79946879150066
76,49.5,0.3,74.6,99.3975903614458,49.5,66.08811748998666
77,49.0,0.3,74.35,99.39148073022312,49.0,65.63965170797053
78,48.5,0.3,74.1,99.38524590163935,48.5,65.18817204301077
79,48.1,0.3,73.89999999999999,99.3801652892562,48.1,64.82479784366576
80,47.4,0.2,73.60000000000001,99.5798319327731,47.4,64.22764227642277
81,46.5,0.2,73.15,99.57173447537473,46.5,63.394683026584865
82,45.9,0.2,72.85000000000001,99.56616052060737,45.9,62.83367556468173
83,45.5,0.2,72.65,99.56236323851203,45.5,62.45710363761153
84,44.9,0.2,72.35000000000001,99.55654101995565,44.9,61.88835286009648
85,44.4,0.2,72.10000000000001,99.55156950672645,44.4,61.41078838174273
86,44.2,0.2,72.0,99.54954954954954,44.2,61.21883656509694
87,43.5,0.2,71.65,99.54233409610984,43.5,60.54279749478079
88,42.4,0.2,71.10000000000001,99.53051643192488,42.4,59.46704067321178
89,42.1,0.1,71.0,99.76303317535545,42.1,59.21237693389592
90,41.7,0.1,70.8,99.76076555023923,41.7,58.815232722143875
91,41.1,0.1,70.5,99.75728155339804,41.1,58.21529745042493
92,40.7,0.1,70.3,99.75490196078431,40.7,57.81250000000001
93,40.3,0.1,70.10000000000001,99.75247524752474,40.3,57.4074074074074
94,39.5,0.1,69.7,99.74747474747474,39.5,56.59025787965616
95,38.4,0.1,69.15,99.74025974025975,38.4,55.45126353790613
96,38.1,0.1,69.0,99.73821989528795,38.1,55.137481910274964
97,37.0,0.1,68.45,99.73045822102425,37.0,53.97520058351567
98,36.1,0.1,68.0,99.72375690607734,36.1,53.01027900146843
99,35.5,0.1,67.7,99.71910112359551,35.5,52.3598820058997
100,34.8,0.1,67.35000000000001,99.7134670487106,34.8,51.59377316530763
101,33.9,0.1,66.9,99.70588235294117,33.9,50.59701492537314
102,33.0,0.1,66.45,99.69788519637461,33.0,49.58677685950413
103,31.3,0.1,65.60000000000001,99.68152866242038,31.3,47.64079147640791
104,30.5,0.1,65.2,99.67320261437908,30.5,46.70750382848392
105,29.7,0.1,64.8,99.66442953020135,29.7,45.76271186440678
106,28.8,0.1,64.35000000000001,99.65397923875432,28.8,44.68580294802172
107,28.0,0.1,63.95,99.64412811387899,28.0,43.71584699453552
108,26.6,0.1,63.25,99.625468164794,26.6,41.988950276243095
109,25.6,0.1,62.75,99.61089494163423,25.6,40.73190135242642
110,24.8,0.1,62.35,99.59839357429718,24.8,39.71176941553242
111,24.0,0.1,61.95,99.58506224066389,24.0,38.6784850926672
112,22.4,0.1,61.150000000000006,99.55555555555556,22.4,36.57142857142857
113,20.9,0.1,60.400000000000006,99.52380952380952,20.9,34.54545454545454
114,19.2,0.1,59.550000000000004,99.48186528497409,19.2,32.187761944677284
115,18.6,0.1,59.25,99.46524064171123,18.6,31.339511373209778
116,17.3,0.1,58.6,99.42528735632183,17.3,29.471890971039183
117,15.8,0.1,57.85,99.37106918238993,15.8,27.2648835202761
118,15.1,0.1,57.5,99.3421052631579,15.1,26.21527777777778
119,13.9,,,0.0,13.9,0.0
120,13.2,,,0.0,13.2,0.0
121,12.0,,,0.0,12.0,0.0
122,11.2,,,0.0,11.2,0.0
123,9.59999999999999,,,0.0,9.59999999999999,0.0
124,8.8,,,0.0,8.8,0.0
125,8.09999999999999,,,0.0,8.09999999999999,0.0
126,7.40000000000001,,,0.0,7.40000000000001,0.0
127,6.8,,,0.0,6.8,0.0
128,5.7,,,0.0,5.7,0.0
129,5.0,,,0.0,5.0,0.0
130,4.09999999999999,,,0.0,4.09999999999999,0.0
131,2.90000000000001,,,0.0,2.90000000000001,0.0
132,2.40000000000001,,,0.0,2.40000000000001,0.0
133,1.8,,,0.0,1.8,0.0
134,1.7,,,0.0,1.7,0.0
135,1.5,,,0.0,1.5,0.0
136,1.2,,,0.0,1.2,0.0
137,1.0,,,0.0,1.0,0.0
138,0.799999999999997,,,0.0,0.799999999999997,0.0
139,0.599999999999994,,,0.0,0.599999999999994,0.0
140,0.400000000000006,,,0.0,0.400000000000006,0.0
141,0.400000000000006,,,0.0,0.400000000000006,0.0
142,0.400000000000006,,,0.0,0.400000000000006,0.0
143,0.400000000000006,,,0.0,0.400000000000006,0.0
144,0.200000000000003,,,0.0,0.200000000000003,0.0
145,0.200000000000003,,,0.0,0.200000000000003,0.0
146,0.200000000000003,,,0.0,0.200000000000003,0.0
147,0.200000000000003,,,0.0,0.200000000000003,0.0
148,0.099999999999994,,,0.0,0.099999999999994,0.0
149,0.099999999999994,,,0.0,0.099999999999994,0.0
150,0.099999999999994,,,0.0,0.099999999999994,0.0
151,0.099999999999994,,,0.0,0.099999999999994,0.0
152,0.099999999999994,,,0.0,0.099999999999994,0.0
153,0.099999999999994,,,0.0,0.099999999999994,0.0
154,0.099999999999994,,,0.0,0.099999999999994,0.0
155,0.099999999999994,,,0.0,0.099999999999994,0.0
156,0.099999999999994,,,0.0,0.099999999999994,0.0
157,0.099999999999994,,,0.0,0.099999999999994,0.0
158,0.099999999999994,,,0.0,0.099999999999994,0.0
159,0.099999999999994,,,0.0,0.099999999999994,0.0
160,0.099999999999994,,,0.0,0.099999999999994,0.0
161,0.099999999999994,,,0.0,0.099999999999994,0.0
162,0.099999999999994,,,0.0,0.099999999999994,0.0
163,0.099999999999994,,,0.0,0.099999999999994,0.0
164,0.099999999999994,,,0.0,0.099999999999994,0.0
165,0.099999999999994,,,0.0,0.099999999999994,0.0
166,0.099999999999994,,,0.0,0.099999999999994,0.0
167,0.099999999999994,,,0.0,0.099999999999994,0.0
168,0.099999999999994,,,0.0,0.099999999999994,0.0
169,0.099999999999994,,,0.0,0.099999999999994,0.0
170,0.099999999999994,,,0.0,0.099999999999994,0.0
171,0.099999999999994,,,0.0,0.099999999999994,0.0
172,0.099999999999994,,,0.0,0.099999999999994,0.0
173,0.099999999999994,,,0.0,0.099999999999994,0.0
174,0.099999999999994,,,0.0,0.099999999999994,0.0
175,0.099999999999994,,,0.0,0.099999999999994,0.0
176,0.099999999999994,,,0.0,0.099999999999994,0.0
177,0.099999999999994,,,0.0,0.099999999999994,0.0
178,0.099999999999994,,,0.0,0.099999999999994,0.0
179,0.099999999999994,,,0.0,0.099999999999994,0.0
180,0.099999999999994,,,0.0,0.099999999999994,0.0
181,0.099999999999994,,,0.0,0.099999999999994,0.0
182,0.099999999999994,,,0.0,0.099999999999994,0.0
183,0.099999999999994,,,0.0,0.099999999999994,0.0
184,0.099999999999994,,,0.0,0.099999999999994,0.0
185,0.099999999999994,,,0.0,0.099999999999994,0.0
186,0.099999999999994,,,0.0,0.099999999999994,0.0
187,0.099999999999994,,,0.0,0.099999999999994,0.0
188,0.099999999999994,,,0.0,0.099999999999994,0.0
189,0.099999999999994,,,0.0,0.099999999999994,0.0
190,0.099999999999994,,,0.0,0.099999999999994,0.0
191,0.099999999999994,,,0.0,0.099999999999994,0.0
192,0.099999999999994,,,0.0,0.099999999999994,0.0
193,0.099999999999994,,,0.0,0.099999999999994,0.0
194,0.099999999999994,,,0.0,0.099999999999994,0.0
195,0.099999999999994,,,0.0,0.099999999999994,0.0
196,0.099999999999994,,,0.0,0.099999999999994,0.0
197,0.099999999999994,,,0.0,0.099999999999994,0.0
198,0.099999999999994,,,0.0,0.099999999999994,0.0
199,0.099999999999994,,,0.0,0.099999999999994,0.0
200,0.099999999999994,,,0.0,0.099999999999994,0.0
201,0.099999999999994,,,0.0,0.099999999999994,0.0
202,0.099999999999994,,,0.0,0.099999999999994,0.0
203,0.099999999999994,,,0.0,0.099999999999994,0.0
204,0.099999999999994,,,0.0,0.099999999999994,0.0
205,0.099999999999994,,,0.0,0.099999999999994,0.0
206,0.099999999999994,,,0.0,0.099999999999994,0.0
207,0.099999999999994,,,0.0,0.099999999999994,0.0
208,0.099999999999994,,,0.0,0.099999999999994,0.0
209,0.099999999999994,,,0.0,0.099999999999994,0.0
210,0.099999999999994,,,0.0,0.099999999999994,0.0
211,0.099999999999994,,,0.0,0.099999999999994,0.0
212,0.099999999999994,,,0.0,0.099999999999994,0.0
213,0.099999999999994,,,0.0,0.099999999999994,0.0
214,0.099999999999994,,,0.0,0.099999999999994,0.0
215,0.099999999999994,,,0.0,0.099999999999994,0.0
216,0.099999999999994,,,0.0,0.099999999999994,0.0
217,0.099999999999994,,,0.0,0.099999999999994,0.0
218,0.099999999999994,,,0.0,0.099999999999994,0.0
219,0.099999999999994,,,0.0,0.099999999999994,0.0
220,0.099999999999994,,,0.0,0.099999999999994,0.0
221,0.099999999999994,,,0.0,0.099999999999994,0.0
222,0.099999999999994,,,0.0,0.099999999999994,0.0
223,0.099999999999994,,,0.0,0.099999999999994,0.0
224,0.099999999999994,,,0.0,0.099999999999994,0.0
225,0.099999999999994,,,0.0,0.099999999999994,0.0
226,0.099999999999994,,,0.0,0.099999999999994,0.0
227,0.099999999999994,,,0.0,0.099999999999994,0.0
228,0.099999999999994,,,0.0,0.099999999999994,0.0
229,0.099999999999994,,,0.0,0.099999999999994,0.0
230,0.099999999999994,,,0.0,0.099999999999994,0.0
231,0.099999999999994,,,0.0,0.099999999999994,0.0
232,0.099999999999994,,,0.0,0.099999999999994,0.0
233,0.099999999999994,,,0.0,0.099999999999994,0.0
234,0.099999999999994,,,0.0,0.099999999999994,0.0
235,0.099999999999994,,,0.0,0.099999999999994,0.0
236,0.099999999999994,,,0.0,0.099999999999994,0.0
237,0.099999999999994,,,0.0,0.099999999999994,0.0
238,0.099999999999994,,,0.0,0.099999999999994,0.0
239,0.099999999999994,,,0.0,0.099999999999994,0.0
240,0.099999999999994,,,0.0,0.099999999999994,0.0
241,0.099999999999994,,,0.0,0.099999999999994,0.0
242,0.099999999999994,,,0.0,0.099999999999994,0.0
243,0.099999999999994,,,0.0,0.099999999999994,0.0
244,0.099999999999994,,,0.0,0.099999999999994,0.0
245,0.099999999999994,,,0.0,0.099999999999994,0.0
246,0.099999999999994,,,0.0,0.099999999999994,0.0
247,0.099999999999994,,,0.0,0.099999999999994,0.0
248,0.099999999999994,,,0.0,0.099999999999994,0.0
249,0.099999999999994,,,0.0,0.099999999999994,0.0
250,0.099999999999994,,,0.0,0.099999999999994,0.0
251,0.099999999999994,,,0.0,0.099999999999994,0.0
252,0.099999999999994,,,0.0,0.099999999999994,0.0
253,0.099999999999994,,,0.0,0.099999999999994,0.0
254,0.099999999999994,,,0.0,0.099999999999994,0.0
255,0.099999999999994,,,0.0,0.099999999999994,0.0
256,0.099999999999994,,,0.0,0.099999999999994,0.0
